Study Package Cd,Study Package Version,Full Title,Stage,Study Package Category Type,Category Type Description,Credit Point Value,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code
C06108,1,Graduate Diploma in Engineering,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06108,Graduate Diploma in Engineering,GradDipE,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010060,AC,CR,GRADDIP,GRDI,,$CWK
C06108,1,Graduate Diploma in Engineering,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06108,Graduate Diploma in Engineering,GradDipE,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06109,1,Graduate Diploma in Environmental Engineering Management,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06109,Graduate Diploma in Environmental Engineering Management,GradDipEnvEM,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010060,AC,CR,GRADDIP,GRDI,,$CWK
C06109,1,Graduate Diploma in Environmental Engineering Management,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06109,Graduate Diploma in Environmental Engineering Management,GradDipEnvEM,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06110,1,Graduate Diploma in Engineering Management,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06110,Graduate Diploma in Engineering Management,GradDipEM,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010060,AC,CR,GRADDIP,GRDI,,$CWK
C06110,1,Graduate Diploma in Engineering Management,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06110,Graduate Diploma in Engineering Management,GradDipEM,030000,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06113,1,Graduate Diploma in Information Technology,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06113,Graduate Diploma in Information Technology,GradDipIT,029900,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06113,1,Graduate Diploma in Information Technology,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06113,Graduate Diploma in Information Technology,GradDipIT,029900,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010070,AC,CR,GRADDIP,GRDI,,$CWK
C06123,1,Graduate Diploma in Interaction Design,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06123,Graduate Diploma in Interaction Design,Grad Dip in Interaction Design,029999,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06123,1,Graduate Diploma in Interaction Design,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06123,Graduate Diploma in Interaction Design,Grad Dip in Interaction Design,029999,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010070,AC,CR,GRADDIP,GRDI,,$CWK
C06134,1,Graduate Diploma in Information Systems,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06134,Graduate Diploma in Information Systems,Grad Dip IS,020300,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,ATT02,AC,CR,GRADDIP,GRDI,,$CWK
C06134,1,Graduate Diploma in Information Systems,Active,GDN,Grad Dip New Area of Study,48.0,0,0,0,D,Engineering and Information Technology,C06134,Graduate Diploma in Information Systems,Grad Dip IS,020300,Graduate Diploma,Graduate Diploma,1,Coursework,Course,,,,,,010070,AC,CR,GRADDIP,GRDI,,$CWK
