Study Package Cd,Study Package Version,Full Title,Stage,Study Package Category Type,Category Type Description,Credit Point Value,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code
MAJ00000,1,FEIT Undergraduate FILO,Draft,MJ,Major,0.0,0,0,0,D,Engineering and Information Technology,MAJ00000,FEIT Undergraduate FILO,FEIT Undergraduate FILO,030000,,NA,0,Not Applicable,Major,,,,,,010060,DR,MJ,,,,$NAP
MAJ00001,1,FEIT Postgraduate FILO,Draft,MJ,Major,0.0,0,0,0,D,Engineering and Information Technology,MAJ00001,FEIT Postgraduate FILO,FEIT Postgraduate FILO,030000,,NA,0,Not Applicable,Major,,,,,,010060,DR,MJ,,,,$NAP
MAJ02041,7,"Information Technology major BBus, BGS",Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02041,Information Technology,IT Major,020300,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02080,2,Business Information Systems Management Major BSc Information Technology,Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02080,Business Information Systems Management,Business Information Sys Major,020300,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02081,8,48cp Data Analytics major BScIT,Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02081,Data Analytics,Data Analytics maj,020105,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02082,1,Business Information Systems Major,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02082,Business Information Systems,Business Information Systems,020300,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02083,1,Internetworking Major,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02083,Internetworking,Internetworking,020113,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02084,1,Data Analytics Major,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02084,Data Analytics,Data Analytics,020100,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02085,1,Interactive Media Major,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02085,Interactive Media,Interactive Media Major,029999,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02086,1,Software Development Major,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02086,Software Development,Software Development,020103,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02087,1,Business Information Systems Major,Active,MJ,Major,30.0,0,0,0,D,Engineering and Information Technology,MAJ02087,Business Information Systems,Business Information Systems,020300,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02088,1,Internetworking Major,Active,MJ,Major,30.0,0,0,0,D,Engineering and Information Technology,MAJ02088,Internetworking,Internetworking,020113,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02089,1,Data Analytics Major,Active,MJ,Major,30.0,0,0,0,D,Engineering and Information Technology,MAJ02089,Data Analytics,Data Analytics,020100,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02090,1,Interactive Media Major,Active,MJ,Major,30.0,0,0,0,D,Engineering and Information Technology,MAJ02090,Interactive Media,Interactive Media Major,029999,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02091,1,Software Development Major,Active,MJ,Major,30.0,0,0,0,D,Engineering and Information Technology,MAJ02091,Software Development,Software Development,020103,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02092,2,Interaction Design Major BSc IT,Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02092,Interaction Design,Interaction Design,029999,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02900,1,Cybersecurity and Privacy,Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02900,Cybersecurity and Privacy,Cybersecurity and Privacy,029901,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02901,2,48cp Quantum Information Science Major,Active,MJ,Major,48.0,0,0,0,D,Engineering and Information Technology,MAJ02901,Quantum Information Science,Quantum Information Science,020105,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ02902,1,36cp Information Technology Major MBA,Active,MJ,Major,36.0,0,0,0,D,Engineering and Information Technology,MAJ02902,Information Technology,Information Technology,020300,,NA,0,Not Applicable,Major,,,,,,010070,AC,MJ,,,,$NAP
MAJ03001,5,Civil Engineering Major BE and BEDipEngPrac,Active,MJ,Major,120.0,0,0,0,D,Engineering and Information Technology,MAJ03001,Civil Engineering,Civ Eng Major,030900,,NA,0,Not Applicable,Major,,,,,,010060,AC,MJ,,,,$NAP
